40	410379.726	1225000	1599998.933	1600000	13335.750	23600	26666.648	26800
80	1619328.672	3364000	6399995.733	6400000	26665.120	39200	53333.297	54300
120	3618477.915	6889000	14399990.764	14400000	39938.500	56200	79999.944	80400
160	6441100.597	11617300	25599983.580	25600000	53343.365	71400	106666.592	107200
