25	9.221	4.715	2.759	2.534	1.700
50	18.826	9.350	5.442	4.949	3.303
75	28.432	13.963	8.315	7.619	5.137
100	38.037	19.324	11.029	9.928	6.739
125	47.642	23.138	13.871	12.434	8.290
150	57.247	29.031	16.432	15.085	10.062
175	66.853	34.697	19.661	23.060	14.250
200	76.458	38.600	23.450	21.491	14.413
