25	18800	17000	11400	14200	9400
50	38600	34000	20600	24600	16200
75	58200	47200	33200	35600	22600
100	77600	65000	41000	46000	31000
125	97200	74800	48600	59000	39400
150	116600	94800	59800	65800	45400
175	135400	112200	68600	64800	43000
200	155200	124600	75000	82400	57800
