"8 BT par"	14056


"8 BT ind"	13950


"8 CG par"	2017


"8 CG ind"	2019


"16 BT par"	9224


"16 BT ind"	9467


"16 CG par"	1110


"16 CG ind"	1349
