KDTree 0 107352 8 20000 40000 60000 80000 100000 120000 140000 160000 20103.9 48834.8 72515.9 97369.3 127003 149736 176488 215704 15951.3  9790.29  17765.7  43946.9  32585  34193.1  46563.6  55095.1
BFBCT 145090 51471 8 20000 40000 60000 80000 100000 120000 140000 160000 17567.8 48347.6 75012.3 103155 130008 152762 176160 204827 9208.47 23549.6 34395 43298.6 38392.3 49599.8 62311.4 66690.1
Progrega 78921 79383 8 20000 40000 60000 80000 100000 120000 140000 160000 6737.56 49394 75782.8 101564 125626 157939 180987 209601 2951.37 16935.3 22732 25872.8 26869.3 22315.3 21937.5 24655.4 
Ahmed 125728 6542 8 20000 40000 60000 80000 100000 120000 140000 160000 20642.2 43752.9 67356.9 94704.8 126019 150770 186517 218079 7596.06 19107.1 25667.4 39601.7 36870 47936.6 63082.7 55152.2
