1100 80 730 0.169457 8 668 22570 18443 46488 29686 59041 50777 44232 172 7679 3392 10009 8609 12532 9852 10150 
2200 81 0 0.185101 8 688 22091 14948 52545 34581 61234 52148 44182 0 9298 2375 9780 8656 12752 8487 10374 
3300 67 0 0.237438 8 0 24328 9317 58737 38098 75277 55634 41984 0 8213 1951 11366 7754 12739 6979 10220 
4400 60 0 0.274623 8 0 30988 6659 62104 45880 76879 61381 41230 0 10278 1347 13036 7175 13560 5876 11052 
5500 57 0 0.319188 8 0 34292 4865 72035 44073 85793 57436 42206 0 8784 1201 16850 6191 17628 5660 13063 
6600 66 0 0.329071 8 0 31163 4023 79683 43600 85939 53400 43077 0 10436 880 16747 7693 18535 5155 14409 
7700 55 0 0.358423 8 0 34241 2886 83045 42368 95616 52419 44286 0 9472 803 18517 8957 23966 5397 16381 
8800 78 0 0.396503 8 0 34906 1219 93035 42835 98813 46610 40075 0 6163 754 20492 8557 26748 5499 17261 
9900 71 0 0.387392 8 0 28673 752 91034 45573 109567 45765 42730 0 5614 398 19698 8814 24949 6559 17797 
11000 72 0 0.422996 8 0 24636 647 99017 48344 124014 42335 44376 0 5995 381 16107 11391 24212 5636 19828 
12100 62 14 0.340007 8 12816 16496 573 86847 54332 116532 36579 48553 7829 5796 221 16945 11373 25607 6841 15898 
13200 71 0 0.380175 8 11551 12090 742 92864 49585 128739 32996 47378 8620 4599 437 17165 10561 25711 6594 14442 
14300 64 2 0.407995 8 12648 12813 843 94383 53501 143245 32751 44534 9617 4612 762 16183 12954 29692 6440 16528 
15400 73 0 0.441026 8 13423 11629 1031 97384 52284 153615 30914 36679 9524 5262 896 17819 12906 30804 5338 13593 
16500 69 264 0.23194 8 14773 12575 1351 45121 57758 69634 70104 125777 8260 4609 476 17841 13193 14228 17475 29315 
17600 64 5 0.251699 8 16518 12006 1173 51412 54443 73680 68082 128527 8991 4978 260 23630 14911 18247 20962 30093 
18700 73 0 0.272103 8 16973 13177 1168 61224 53957 76344 59291 137547 7790 4654 742 24320 15058 22517 22200 36070 
19800 90 3 0.354116 8 24112 13039 563 63607 52196 81765 49482 146833 9643 5213 729 27321 14781 21833 19080 34444 
20900 84 18 0.279771 8 13611 13415 344 59009 54896 84449 55207 151687 9793 4796 858 24749 16021 24371 19906 34574 
22000 80 3 0.295181 8 11303 11162 364 64430 54326 79856 56269 157241 6497 4420 773 27169 15608 23486 20886 34454 
23100 82 4 0.303543 8 8243 10375 365 70301 51463 90633 59674 143663 5366 4106 1350 29164 16166 26099 22351 34142 
24200 67 2 0.313068 8 5853 11930 841 68449 53314 103099 61246 138350 4261 5177 1192 27895 18958 28782 23061 34086 
25300 79 1 0.296244 8 7495 11979 1184 69547 56647 97771 58738 135307 5299 5152 1253 29777 20040 29913 24385 37161 
26400 86 1 0.321904 8 5991 9766 1303 70327 54701 105858 52820 135148 4093 4936 643 26326 20756 22135 19641 37888 
27500 77 1 0.343141 8 4888 10977 1411 79173 53299 103452 51296 139557 4074 3659 1462 27328 20013 21430 16582 43008 
28600 85 0 0.346157 8 5016 11268 850 85397 56663 103045 54066 127503 4406 3978 1017 27718 20565 23989 17092 37752 
29700 74 0 0.355925 8 6263 9217 1607 92960 54287 101221 53129 121562 4835 4218 1413 26734 19281 27435 16555 41931 
30800 62 0 0.349891 8 4840 9237 1931 89215 48414 101359 51862 116970 4291 4253 2191 24170 17081 27469 16602 40835 
31900 81 0 0.308624 8 5678 8730 1837 76018 49131 90152 52242 125329 3466 3983 2140 22318 15512 24205 16665 34849 
33000 71 0 0.322677 8 3842 9636 1868 79275 46769 92993 56042 120134 3760 3339 2139 20999 15820 22298 18020 37909 
34100 66 0 0.277176 8 6104 9834 2012 67893 43634 79815 57010 128049 4597 3562 2226 20738 13108 17456 19111 33725 
35200 71 0 0.259615 8 5359 11403 1891 57055 45559 77746 65300 130559 5358 4249 2540 19416 11859 23102 21957 34986 
36300 67 0 0.247354 8 4712 10109 2836 55546 45364 72758 69376 121347 5803 4390 2976 18409 13094 25607 20847 32494 
37400 72 0 0.229382 8 9257 8415 3526 53491 42569 74985 72172 120064 6883 3322 2670 17348 13165 22465 21727 27150 
38500 76 0 0.215333 8 8636 6954 4881 42955 41095 75980 85211 106660 6133 3500 3174 14497 13384 21814 21282 22530 
39600 91 0 0.220466 8 8396 6563 5440 43714 41619 79691 84685 107482 4251 4322 3614 13094 13055 23565 23388 26967 
40700 66 0 0.218498 8 7601 7862 6221 44244 33220 84161 84357 102856 3770 4030 5124 14803 10202 20964 19627 28950 
41800 74 0 0.225152 8 4549 9940 9128 50923 35240 81013 90492 101933 3266 4497 6114 15423 12578 23761 20025 31002 
42900 58 0 0.204867 8 5519 11346 13146 51922 35648 84252 92228 98350 3432 5473 6584 17075 14975 26558 22837 33665 
44000 95 0 0.220673 8 3405 12735 19175 64225 34653 85206 84483 94270 3006 5302 5562 23286 16031 29486 22250 35216 
45100 85 0 0.233711 8 3396 12358 23280 70949 36393 90017 81270 92746 2498 5343 10435 23330 16598 29386 21885 34655 
46200 79 0 0.226622 8 3910 12611 24639 70502 34847 89600 85808 89337 3848 5652 11323 22020 13982 31247 19337 32212 
47300 80 0 0.248521 8 5445 12254 30165 80994 29820 96052 79339 83575 4075 4502 11861 21284 13996 25307 20015 25462 
48400 76 0 0.246862 8 6721 12415 34807 86818 38494 95842 73184 81929 4396 4518 9843 18663 14562 28752 18832 27310 
49500 82 0 0.254684 8 7245 10682 38157 85424 37754 103028 76681 83933 5537 3815 12320 16292 15720 32084 19912 28865 
50600 77 0 0.288312 8 7485 9217 35326 92965 38835 109578 77856 89497 4741 3292 16094 17428 13903 34072 18972 33225 
51700 71 0 0.354074 8 5314 9432 40519 102298 38490 127065 72377 76962 4175 3180 12161 15103 15381 31388 18908 35095 
52800 84 22 0.310508 8 4829 20255 50178 88120 35382 134299 70230 90702 4236 11675 9322 26959 12456 31168 19110 35951 
53900 99 0 0.266594 8 9122 24321 52383 85158 38234 133155 69133 85521 5192 12023 13103 25770 14031 28893 21679 37891 
55000 90 2 0.303798 8 5809 21347 43709 93460 38236 134223 79787 82800 3946 12662 13081 28203 11255 26430 23168 33660 
56100 78 2 0.318946 8 5131 27736 42489 96464 39906 140801 84307 83823 2892 13318 12230 28914 14029 29130 24992 34022 
