BFBCT
Set 750x750 at 32 bits-per-pixel mode
SDL_ttf inicializado com sucesso
X[0] = 740 ; Y[0] = 270
X[1] = 310 ; Y[1] = 20
X[2] = 440 ; Y[2] = 400
1100 177 1448 0.341502 8 16542 77294 105882 150964 159524 182473 265076 261254 6461 28396 32349 26245 18311 17987 77254 46984 
2200 145 0 0.465756 8 12244 77469 117857 156916 155931 176913 302470 278025 6256 31566 36683 28138 20493 19881 87627 52837 
3300 188 102 0.265769 8 28396 90478 123789 164795 159249 196364 266971 284876 13553 30034 40855 28912 27462 35027 97674 54853 
4400 164 55 0.328741 8 23652 79815 139107 161808 190354 186064 287879 304309 15124 28240 42540 32390 41581 34455 108990 63487 
5500 203 130 0.530184 8 10405 85126 115897 170270 188302 208321 313353 314673 6968 36452 47407 30595 39282 49166 109814 67678 
6600 180 0 0.5873 8 10724 86998 132387 185058 169916 191712 338597 329584 6915 39378 52707 27946 34818 48558 109849 78184 
7700 191 96 0.299684 8 36391 97311 150375 187882 160492 241733 269634 355166 18989 41501 60726 25072 36809 80117 116109 90769 
8800 231 27 0.286239 8 41746 98383 152423 193739 174906 212321 308798 368259 21031 36503 78500 19921 63217 73741 128445 94363 
9900 242 1 0.312145 8 38635 94910 155672 187192 168249 220976 332573 395553 19475 31688 75793 21047 54636 86323 137959 106168 
11000 202 0 0.439974 8 43911 102674 159558 169805 149776 207892 364750 448210 22089 36342 83240 20402 56023 90519 146940 121873 
12100 246 262 0.317076 8 42352 89562 177496 157636 212089 294058 369083 328728 20088 32616 83434 22254 94751 105947 156028 98415 
13200 240 108 0.231193 8 43873 96967 125053 165836 216105 288214 392500 360935 24862 35602 71779 44849 97808 111782 161010 121605 
14300 260 4 0.334381 8 46353 93147 133964 133074 225514 290185 414657 373111 23200 35136 77465 43391 92242 112836 154975 121187 
15400 238 312 0.152066 8 44603 90399 135299 176306 228346 306631 355249 400012 26060 45871 84925 76242 95416 119294 125612 125532 
16500 256 8 0.214495 8 46263 95917 145152 159798 225873 298197 386431 405841 29086 55169 82241 73448 105307 109464 125578 134405 
17600 247 10 0.238582 8 46395 101925 137439 163345 230872 310095 373939 445441 31905 61362 81336 80433 110171 110837 123939 137557 
18700 263 8 0.366538 8 34863 110256 127949 169080 264408 301140 364603 445342 28414 64745 76366 75610 117626 110411 123676 144971 
19800 247 3 0.379551 8 45247 124950 129914 147993 261465 296717 372007 454454 32550 68378 78586 68678 122657 121472 127258 143418 
20900 252 64 0.407809 8 56453 107602 110408 146019 279232 295358 379258 462230 36073 81045 68497 74160 135266 121347 134341 141987 
22000 285 2 0.550314 8 65539 125811 104259 143487 306978 298021 369003 443248 36076 83305 64359 69941 127236 127014 140542 143078 
23100 261 62 0.385031 8 48574 120936 122038 163797 311780 289014 349926 451800 29259 72370 79656 74398 129400 131743 129792 139365 
24200 259 205 0.260307 8 42503 120505 142307 192638 271273 311547 348710 444262 27540 76936 80494 100156 127515 127605 129072 141208 
25300 262 10 0.349439 8 36291 104410 139516 186421 297656 325165 326523 440452 20037 68847 84692 100941 136831 119262 130780 143851 
26400 245 5 0.353502 8 49073 98667 124673 185983 336316 318255 342727 419384 26427 68155 74901 95147 150151 126320 124952 143259 
27500 276 188 0.146395 8 49743 103837 142765 231124 245797 303291 361339 426549 36861 68808 80348 123035 141807 110383 147412 145735 
28600 251 5 0.273776 8 57288 109554 123674 227628 288989 292043 336859 430567 36667 78537 74108 131086 153990 106506 142656 151940 
29700 277 9 0.296209 8 45534 113963 139054 218016 309714 264025 341451 432244 30863 78832 79502 121890 152436 91853 140723 156949 
30800 256 5 0.419724 8 45167 116971 135517 216844 342450 239202 353534 426752 30890 86377 81107 119495 145476 90661 139855 158102 
31900 297 120 0.123765 8 49596 111952 163597 199238 269036 302844 343518 426318 30107 78286 98945 110307 155288 124162 133309 147978 
33000 245 10 0.252851 8 52947 111084 186015 188007 260162 280705 327942 429246 31601 86806 105603 109723 156360 128701 132927 145693 
34100 285 122 0.231343 8 50253 120863 158930 223795 234393 296794 320645 414855 31229 90459 95377 117430 137071 110351 123049 138762 
35200 270 10 0.336244 8 43347 123143 170655 239653 231145 282944 317824 401681 27821 99482 91410 119204 142689 113869 115414 143590 
36300 260 116 0.285857 8 53692 121099 172911 217994 224488 306697 324113 372814 29214 94482 89033 111638 129265 113320 106878 140066 
37400 265 23 0.252216 8 47340 89071 182244 214901 226576 313940 329296 392017 29758 74304 93314 107457 151198 105862 112882 152606 
38500 257 66 0.193488 8 46445 110391 161553 224458 250848 297436 312259 400931 30975 75288 65344 109880 168844 107020 116577 156484 
39600 279 9 0.230012 8 53450 104509 180104 209773 266960 283370 314423 389183 28714 71737 65691 100894 173854 98543 116385 167440 
40700 249 7 0.304398 8 53270 122891 170298 200251 285072 293001 303636 370517 29483 77071 67437 97715 170450 99043 107920 162740 
41800 245 19 0.312272 8 59010 109499 174010 180097 289425 306549 299366 382890 33345 72620 63603 95228 176712 107138 95661 177203 
42900 236 4 0.183071 8 50882 101282 165092 196939 277027 327482 309400 387922 29167 75025 61540 105357 171464 106034 101615 170198 
44000 239 4 0.26999 8 57824 112027 161957 204324 280971 329313 291793 380922 28750 73092 59433 117688 169131 113105 96558 171054 
45100 257 2 0.312769 8 53448 127475 165391 192380 292499 311326 309860 379036 27247 74917 59631 118510 164356 117095 106005 171291 
46200 246 3 0.331284 8 52879 133620 170814 210892 286924 330186 319614 371025 25680 84826 62092 123146 172697 120006 115397 180731 
47300 256 1 0.387627 8 44261 139699 170335 202964 305755 306932 344874 391428 23337 88592 56283 115106 190096 124387 121714 189804 
48400 268 38 0.489184 8 36782 141979 175999 218658 317060 301702 348308 384552 12967 93700 58650 121882 180089 123459 121303 165618 
49500 258 45 0.585828 8 36893 61533 189225 203232 326788 324316 367153 458246 12322 56027 60870 115102 187851 127363 124721 202440 
50600 236 5 0.661317 8 34134 65167 207640 201840 331827 329755 361432 491236 10995 59188 54969 124463 201131 132744 115885 209508 
51700 272 84 0.514386 8 61046 66180 175656 235431 359785 347896 363947 442399 32306 56179 63905 123962 205858 140323 117791 205504 
52800 231 118 0.171007 8 57860 108167 196008 223877 289022 335243 434107 460476 29317 78878 67002 116527 178323 136513 130876 218589 
53900 244 9 0.255748 8 68302 105277 205024 229638 296960 357068 436506 463273 37176 79841 69058 123292 173633 147093 129191 216179 
55000 245 6 0.30999 8 65166 123771 219307 212478 290065 403825 458664 448150 39772 82189 71326 119607 202967 156320 124165 212172 
56100 244 11 0.430953 8 76784 113871 242519 234415 300016 381406 447765 469696 45960 91587 80149 129226 190799 152064 130716 217740 
